Min_Temp_585_30,Min_Temp_585_50,Min_Temp_585_70,Min_Temp_585_90,Max_Temp_585_30,Max_Temp_585_50,Max_Temp_585_70,Max_Temp_585_90,Precipitation_585_30,Precipitation_585_50,Precipitation_585_70,Precipitation_585_90,Min_Temp_hist,Max_Temp_hist,Precipitation_hist
17.551553157498365,18.408949475903523,19.464087738556234,20.6043916425103,29.06947967268597,29.770015883457088,30.639304322573953,31.540978481081257,121.2603253672754,133.32838499457765,144.55054063238313,161.56705380964848,15.918470192719338,26.850299721069007,114.28579516952193
13.796816556578618,14.647881899550553,15.673956116403698,16.817174655822427,24.42991957682947,25.148908774560766,26.036016657726663,26.979098818663886,166.69401168619152,180.58351957705952,195.8011688319837,220.76325322471806,13.34222973290921,24.50912134345568,157.12540038820757
15.073674416359511,15.930670333466413,16.97806532659256,18.13646473117636,25.142780521029003,25.83591364122349,26.704014834549557,27.682792531810158,240.15326436128328,256.468784442405,271.7488274098488,290.13167166496686,16.979830745556317,24.77208688851669,225.72217885050506
18.889986994101083,19.74632591780238,20.791333917737216,21.951724309413656,27.33190835443399,28.033635797181773,28.910054945143134,29.909644651910867,191.44920042983193,204.19825170984743,217.460047215332,235.49968897558082,16.93556189658896,26.199339079655374,180.1329855094378
15.274782978758148,16.129929695344757,17.17603977543117,18.300471069616336,25.885697217623708,26.57329328045012,27.432513805166124,28.330531295424034,277.4312310473548,301.94990472402606,321.7639636025476,352.2328862078331,15.50966668596467,25.720764032514637,262.4813812284687
17.80518031846826,18.6950985419287,19.778966669993544,20.90492137888841,26.75425183661235,27.521802073523908,28.376030870835294,29.33951763285647,108.73818801629658,115.40587066717636,125.14134451835669,140.74341834327305,19.894559188910772,29.66996964935361,103.39036459335505
24.594360870013997,25.427732974987503,26.457408802021398,27.55444677176645,33.94146001791826,34.70559185161248,35.561760829385584,36.57312667116324,36.60898518278159,39.62748208143535,45.66264758593786,52.52607145143375,23.02788411647373,32.75535058546441,33.74874017131577
20.097338774997727,20.887619340658922,21.878465962979927,23.001183094753607,26.525627110679885,27.210167018951,28.087156807484273,29.075702339403506,165.48005028416472,175.8113565136183,186.71699144232974,204.6669583074903,15.300482558950357,23.924982919511308,154.17310952986603
23.396556592651194,24.294547714016154,25.385105622985822,26.54472142137346,33.0539853491694,33.82381572965787,34.678926610124584,35.659057626589146,33.47704337852144,37.42304006192676,43.23744903281991,51.4460969836674,20.68700094275473,31.13613380722092,30.337823660020298
17.535599838637282,18.41536032873605,19.44902609611911,20.555234627056713,27.710860658575776,28.49009324666627,29.375662038198854,30.372926705351286,66.49466135743812,70.99841204742583,77.05239072447436,87.37634195304389,18.5046898858597,28.89186407264084,63.40547954627658
16.38381412301832,17.243368232656934,18.297227093865867,19.460183156483716,26.65133076418012,27.350493198564084,28.22468120915739,29.211726848484073,162.9438567370802,174.37115808831697,185.30082021839019,198.99399735080104,16.583240495341325,25.928427223235076,153.3232817972407
13.874097224403627,14.722850340500967,15.750785650744213,16.885290440445093,24.495396092908727,25.21161263771535,26.094476483115084,27.034317342928404,194.5151946573152,209.9961706703082,226.35140290514892,253.777833343728,12.649152440304682,23.579685115316,184.9921112262015
14.763789563150992,15.644729608500672,16.694728211634928,17.813450670316463,24.497417728595472,25.27144101780873,26.140648500498955,27.11115061703493,72.56359793051371,77.24195830992797,84.10563567686395,94.41696564689927,18.330808837148968,28.708110156037645,69.3013001214622
15.113804194944166,16.003471411792336,17.090335956945303,18.22851027445884,23.91546323569586,24.682937443615018,25.538455673359287,26.491524885451913,143.6701896835899,151.878857432108,164.33227620130285,183.66030779604642,17.809708138271674,27.807175800495962,136.73381648582583
16.21444208520774,17.01177787817323,18.011063422717005,19.14432081590598,26.643007457390436,27.321079501270056,28.197444350389603,29.185568010883443,151.37457718534077,161.35637427694192,171.30994783535277,187.7074026671002,13.168424417026365,24.01335713089853,140.39168935380394
17.6608081914642,18.48255150571243,19.498199192764577,20.629488505784824,26.74081088907997,27.431815924456536,28.310809410289263,29.282383856915345,170.94116631910703,182.6844663885802,195.13004907012086,214.55978767881078,15.15439063823033,25.234168578454884,160.88043956545337
21.638046926608173,22.497064813777737,23.541655711493107,24.63801237742231,31.301567462635994,32.070963612063366,32.9266765851113,33.92084068751524,50.86408248974176,54.976441192180495,61.50669536614581,71.77146217637029,22.324730204658696,31.826395333097672,47.56021237356507
22.985031845659673,23.765836377090064,24.697037900172894,25.718149865625325,29.990876194544033,30.724909400663122,31.598554263208232,32.57695951588355,71.99832795236046,74.03863029651562,78.59178767162685,84.98281703569734,20.027294845353765,28.329074787667853,69.71633108936877
14.373851221119782,15.24589707327948,16.323694348850452,17.476170495628867,25.0853450086464,25.82358105474229,26.69408124381885,27.589685034365885,95.81819929209563,105.6706455789405,116.15650649265818,132.23688179844615,15.212543123311992,26.378616754463263,90.06456522412547
25.224707554085946,25.979895740793005,26.912039813071285,27.931607754431013,30.444742043913756,31.174049763285232,32.032013715056486,33.00877817956849,68.75581160493651,71.34578025039572,77.9998116253055,83.54746195337381,20.966687610300223,28.582981335960977,64.81627447310883
17.303114889902208,18.177464280110424,19.225282405046705,20.336531869768145,26.61918066353381,27.402587075654157,28.255938485900785,29.24223247931578,70.0199792125332,74.53643917182607,81.62004736371878,92.53973301532628,20.22274758031296,29.7595704573702,66.39971229164878
18.95150913593058,19.81756102144257,20.84547164087249,21.9333224918633,28.674176685223888,29.450815078841025,30.31456432104572,31.30283386720244,61.18529469592299,65.53041214759101,72.24925649088878,83.1450964738019,20.515459279115895,30.44962452213896,58.01019117912539
